gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,suspend,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
CHN201504050,SLN,CHN,CHI11,20150405,0,7:17PM,night,,,FALSE,,184,35055,unknown,unknown,sunny,44,fromcf,7,roseb701,,,wintm901,wegnm901,fostm901,muchm901,,,waina001,lestj001,roset001,regular,3,0,SLN,CHN,y,both,y,y,y,2015
ARI201504060,SFN,ARI,PHO01,20150406,0,7:13PM,night,,,FALSE,,198,49043,unknown,unknown,sunny,81,ltor,7,rausg701,,,cedeg901,coope901,drakr901,wolcq901,,,bumgm001,collj001,garcj002,regular,5,4,SFN,ARI,y,both,y,y,y,2015
CIN201504060,PIT,CIN,CIN09,20150406,0,4:10PM,day,,,FALSE,,150,43633,unknown,unknown,overcast,68,tocf,15,rothr701,,,hirsj901,holbs901,welkb901,hoyej901,,,diazj005,watst001,chapa001,regular,2,5,CIN,PIT,y,both,y,y,y,2015
DET201504060,MIN,DET,DET05,20150406,0,1:08PM,day,,,TRUE,,150,45030,unknown,unknown,cloudy,52,rtol,5,klonc701,,,westj901,danlk901,barkl901,reybd901,,,pricd001,hughp001,nathj001,regular,0,4,DET,MIN,y,both,y,y,y,2015
HOU201504060,CLE,HOU,HOU03,20150406,0,6:10PM,night,,,TRUE,,150,43753,unknown,unknown,cloudy,79,rtol,14,blour701,,,barrt901,herna901,barrs901,conrc901,,,keucd001,klubc001,gregl001,regular,0,2,HOU,CLE,y,both,y,y,y,2015
KCA201504060,CHA,KCA,KAN06,20150406,0,3:14PM,day,,,TRUE,,170,40085,wet,drizzle,unknown,59,rtol,6,boycd701,,,laynj901,wendh902,davib902,rackd901,,,venty001,samaj001,,regular,1,10,KCA,CHA,y,both,y,y,y,2015
LAN201504060,SDN,LAN,LOS03,20150406,0,1:12PM,day,,,FALSE,,184,53518,unknown,unknown,cloudy,65,unknown,1,munse701,,,gormb901,carlm901,dimum901,gibsh902,,,peraj002,kells001,hatcc002,regular,3,6,LAN,SDN,y,both,y,y,y,2015
MIA201504060,ATL,MIA,MIA02,20150406,0,4:22PM,day,,,FALSE,,156,36969,unknown,unknown,cloudy,80,fromcf,16,jernr701,,,nelsj901,diazl901,guccc901,blasc901,,,tehej001,alvah001,grilj001,regular,2,1,ATL,MIA,y,both,y,y,y,2015
MIL201504060,COL,MIL,MIL06,20150406,0,1:20PM,day,,,FALSE,,180,46032,dry,none,dome,70,unknown,0,odrit701,,,scotd901,iassd901,buckc901,barrl901,,,kendk001,lohsk001,,regular,10,0,COL,MIL,y,both,y,y,y,2015
NYA201504060,TOR,NYA,NYC21,20150406,0,1:13PM,day,,,TRUE,,179,48469,unknown,unknown,cloudy,54,rtol,5,sprej701,,,culbf901,reynj901,mealj901,schrp901,,,hutcd001,tanam001,,regular,6,1,TOR,NYA,y,both,y,y,y,2015
OAK201504060,TEX,OAK,OAK01,20150406,0,7:09PM,night,,,TRUE,,165,36067,unknown,unknown,unknown,56,torf,17,dybdc701,,,millb901,eddid901,wolfj901,hamaa901,,,grays001,gally001,,regular,0,8,OAK,TEX,y,both,y,y,y,2015
PHI201504060,BOS,PHI,PHI13,20150406,0,3:08PM,day,,,FALSE,,181,45549,unknown,unknown,cloudy,71,torf,11,macom701,,,davig901,cuzzp901,randt901,littw901,,,buchc001,hamec001,,regular,8,0,BOS,PHI,y,both,y,y,y,2015
SEA201504060,ANA,SEA,SEA03,20150406,0,1:12PM,day,,,TRUE,,153,45909,unknown,unknown,unknown,54,unknown,1,radoe701,,,vanol901,kulpr901,knigb901,carav901,,,hernf002,weavj003,rodnf001,regular,1,4,SEA,ANA,y,both,y,y,y,2015
TBA201504060,BAL,TBA,STP01,20150406,0,3:12PM,day,,,TRUE,,181,31042,dry,none,dome,72,unknown,0,mathb701,,,demud901,hicke901,nauep901,estam901,,,tillc001,archc001,,regular,6,2,BAL,TBA,y,both,y,y,y,2015
WAS201504060,NYN,WAS,WAS11,20150406,0,4:09PM,day,,,FALSE,,155,42295,unknown,unknown,sunny,76,tocf,14,mathd701,,,welkt901,timmt901,segac901,ticht901,,,colob001,schem001,carlb001,regular,3,1,NYN,WAS,y,both,y,y,y,2015
ARI201504070,SFN,ARI,PHO01,20150407,0,6:40PM,night,,,FALSE,,190,22626,unknown,unknown,cloudy,79,torf,13,rausg701,,,coope901,drakr901,wolcq901,cedeg901,,,delar003,voger001,reeda001,regular,6,7,ARI,SFN,y,both,y,y,y,2015
LAN201504070,SDN,LAN,LOS03,20150407,0,7:40PM,night,,,FALSE,,211,40356,wet,rain,unknown,57,unknown,1,munse701,,,carlm901,dimum901,gibsh902,gormb901,,,benoj001,hatcc002,,regular,7,3,SDN,LAN,y,both,y,y,y,2015
MIA201504070,ATL,MIA,MIA02,20150407,0,7:11PM,night,,,FALSE,,194,17483,dry,none,dome,75,unknown,0,jernr701,,,diazl901,guccc901,blasc901,nelsj901,,,wooda002,latom001,,regular,12,2,ATL,MIA,y,both,y,y,y,2015
MIL201504070,COL,MIL,MIL06,20150407,0,7:10PM,night,,,FALSE,,168,30222,dry,none,dome,64,unknown,0,odrit701,,,iassd901,buckc901,barrl901,scotd901,,,lylej001,garzm001,hawkl001,regular,5,2,COL,MIL,y,both,y,y,y,2015
OAK201504070,TEX,OAK,OAK01,20150407,0,7:08PM,night,,,TRUE,,150,15025,unknown,unknown,cloudy,54,torf,16,dybdc701,,,eddid901,wolfj901,hamaa901,millb901,,,lewic001,hahnj001,felin001,regular,3,1,TEX,OAK,y,both,y,y,y,2015
SEA201504070,ANA,SEA,SEA03,20150407,0,7:10PM,night,,,TRUE,,133,26545,unknown,unknown,cloudy,56,torf,3,padud701,,,kulpr901,knigb901,carav901,vanol901,,,wilsc004,paxtj001,streh001,regular,2,0,ANA,SEA,y,both,y,y,y,2015
TBA201504070,BAL,TBA,STP01,20150407,0,7:10PM,night,,,TRUE,,202,13906,dry,none,dome,72,unknown,0,mathb701,,,hicke901,nauep901,estam901,demud901,,,gausk001,karnn001,britz001,regular,6,5,BAL,TBA,y,both,y,y,y,2015
ARI201504080,SFN,ARI,PHO01,20150408,0,6:40PM,night,,,FALSE,,188,21642,unknown,unknown,sunny,74,torf,7,rausg701,,,drakr901,wolcq901,cedeg901,coope901,,,hestc001,hellj001,garcj002,regular,5,2,SFN,ARI,y,both,y,y,y,2015
CHN201504080,SLN,CHN,CHI11,20150408,0,1:22PM,day,,,FALSE,,143,26814,unknown,unknown,unknown,46,fromcf,6,frisd701,,,wegnm901,fostm901,muchm901,wintm901,,,arrij001,lynnl001,rondh001,regular,0,2,CHN,SLN,y,both,y,y,y,2015
CIN201504080,PIT,CIN,CIN09,20150408,0,9:44PM,night,,,FALSE,,241,30859,unknown,unknown,unknown,64,ltor,2,camem701,,,holbs901,welkb901,hoyej901,hirsj901,,,hoovj002,liz-r001,,regular,4,5,CIN,PIT,y,both,y,y,y,2015
DET201504080,MIN,DET,DET05,20150408,0,1:08PM,day,,,TRUE,,186,28280,unknown,unknown,unknown,39,fromlf,7,klonc701,,,danlk901,barkl901,reybd901,westj901,,,sanca004,nolar001,,regular,0,11,DET,MIN,y,both,y,y,y,2015
HOU201504080,CLE,HOU,HOU03,20150408,0,7:10PM,night,,,TRUE,,160,23078,unknown,unknown,unknown,79,tolf,11,wilkt701,,,herna901,barrs901,conrc901,barrt901,,,carrc003,felds001,allec002,regular,2,0,CLE,HOU,y,both,y,y,y,2015
